Data;Brasil - taxa de desemprego - (%) - Fundo Monetário Internacional, World Economic Outlook database  (FMI/WEO) - WEO_DESEMWEOBRA;
1991;10,1;
1992;11,6;
1993;11;
1994;10,5;
1995;9,9;
1996;11,2;
1997;11,6;
1998;14,7;
1999;14,7;
2000;13,9;
2001;12,5;
2002;13;
2003;13,7;
2004;12,9;
2005;11,4;
2006;11,5;
2007;10,9;
2008;9,4;
2009;9,7;
2010;8,5;
2011;7,8;
2012;6,9;
2013;6,3;
2014;6,6;
2015;9,1;
2016;12,2;
2017;11,9;
2018;11,7;
2019;11,1;
2020;14,2;
2021;11,1;
2022;7,9;
